,ClipID,Boredom,Engagement,Confusion,Frustration 
188,1100042060.avi,2,2,0,0
189,1100051002.avi,1,2,0,0
190,1100051004.avi,2,2,3,1
191,1100051006.avi,2,2,1,1
192,1100051007.avi,2,1,2,1
193,1100051008.avi,2,2,2,0
194,1100051009.avi,2,2,0,0
195,1100051011.avi,1,2,0,0
196,1100051012.avi,1,2,0,0
197,1100051013.avi,2,2,0,0
198,1100051014.avi,1,2,0,0
199,1100051016.avi,2,1,2,0
200,1100051017.avi,2,2,1,2
201,1100051019.avi,2,3,1,0
202,1100051020.avi,1,2,1,0
203,1100051021.avi,2,2,2,0
204,1100051022.avi,2,2,0,0
205,1100051023.avi,1,2,0,0
206,1100051024.avi,2,2,1,1
207,1100051025.avi,2,2,2,0
208,1100051026.avi,2,2,1,0
209,1100051028.avi,2,2,0,0
210,1100051029.avi,2,2,0,0
211,1100051030.avi,2,1,0,0
212,1100051031.avi,2,1,0,0
213,1100051032.avi,1,3,1,0
214,1100051033.avi,2,2,0,0
215,1100051034.avi,2,2,2,0
216,1100051035.avi,2,2,1,0
217,1100051036.avi,2,2,2,1
218,1100051037.avi,2,2,0,2
219,1100051039.avi,2,2,2,3
220,1100051041.avi,1,3,0,0
221,1100051042.avi,2,2,2,0
222,1100051044.avi,0,2,0,0
223,1100051045.avi,1,3,1,0
224,1100051046.avi,0,2,0,0
225,1100051048.avi,2,2,0,0
226,1100051049.avi,2,2,0,0
227,1100051050.avi,0,3,0,0
228,1100051051.avi,1,2,0,0
229,1100051052.avi,1,2,1,1
230,1100051053.avi,2,1,0,0
231,1100051054.avi,2,2,0,0
232,1100051055.avi,0,2,0,1
233,1100051056.avi,1,2,1,1
234,1100051057.avi,2,3,2,0
235,1100051059.avi,0,3,1,0
236,1100051061.avi,2,2,0,0
237,1100051062.avi,2,3,2,0
238,1100051064.avi,2,3,0,0
239,1100051065.avi,2,2,0,0
240,1100051066.avi,3,3,2,0
241,1100051067.avi,2,3,2,1
242,1100051068.avi,1,3,1,0
243,1100051071.avi,0,3,0,0
244,1100051076.avi,2,2,0,0
245,1100051078.avi,0,2,0,1
246,1100051079.avi,0,3,0,0
247,1100052001.avi,2,2,0,1
248,1100052002.avi,1,2,1,0
249,1100052006.avi,2,2,0,0
250,1100052007.avi,1,2,1,0
251,1100052008.avi,0,3,0,0
252,1100052009.avi,0,2,0,0
253,1100052014.avi,3,1,0,0
254,1100052023.avi,1,2,1,1
255,1100052024.avi,1,2,0,0
256,1100052026.avi,1,2,0,0
257,1100052027.avi,2,2,0,0
258,1100052028.avi,2,3,0,0
259,1100052030.avi,2,2,1,0
260,1100052031.avi,1,2,0,0
261,1100052032.avi,1,2,0,1
262,1100052033.avi,1,2,0,0
263,1100052035.avi,0,2,0,0
264,1100052036.avi,1,2,0,1
265,1100052037.avi,2,2,0,0
266,1100052038.avi,2,2,0,0
267,1100052039.avi,1,2,0,0
268,1100052040.avi,2,3,1,0
269,1100052041.avi,2,2,0,0
270,1100052047.avi,1,2,0,0
271,1100052048.avi,2,2,0,0
272,1100052049.avi,0,2,0,0
273,1100052051.avi,2,2,2,3
274,1100052055.avi,1,2,0,0
275,1100052057.avi,3,2,0,0
276,1100052060.avi,0,3,0,0
277,1100052061.avi,1,2,1,1
278,1100052062.avi,3,2,0,1
279,1100052065.avi,2,3,0,0
280,1100052068.avi,3,2,2,0
281,1100052070.avi,1,2,0,1
282,1100061009.avi,0,3,0,0
283,1100061010.avi,1,3,0,0
284,1100061011.avi,0,3,0,0
285,1100061012.avi,0,2,0,0
286,1100061013.avi,1,3,0,0
287,1100061015.avi,3,2,0,0
288,1100061016.avi,0,2,0,0
289,1100061018.avi,2,2,0,0
290,1100061019.avi,0,2,0,0
291,1100061022.avi,0,3,0,0
292,1100061023.avi,0,2,0,0
293,1100061025.avi,2,2,0,0
294,1100061027.avi,0,3,0,0
295,1100061028.avi,1,2,0,0
296,1100061030.avi,0,2,0,0
297,1100061031.avi,0,2,0,0
298,1100061032.avi,0,2,0,0
299,1100061033.avi,0,3,0,0
300,1100061034.avi,0,2,0,0
301,1100061035.avi,0,2,0,0
302,1100061036.avi,1,3,0,0
303,1100061038.avi,0,3,0,0
304,1100061039.avi,0,2,0,0
305,1100061040.avi,0,3,0,0
306,1100061042.avi,0,3,0,0
307,1100061043.avi,0,3,0,0
308,1100061044.avi,0,2,0,0
309,1100061046.avi,0,3,0,0
310,1100061047.avi,0,3,0,0
311,1100061048.avi,0,3,0,0
312,1100061049.avi,0,2,0,0
313,1100061050.avi,2,2,0,0
314,1100061051.avi,0,3,0,0
315,1100061053.avi,2,2,0,1
316,1100061057.avi,1,2,0,0
317,1100061058.avi,0,2,0,0
318,1100061061.avi,0,3,0,0
319,1100061063.avi,0,3,1,0
320,1100061064.avi,0,3,0,0
321,1100061067.avi,0,3,0,0
322,1100061068.avi,0,3,0,0
323,1100061069.avi,0,3,0,0
324,1100061073.avi,0,2,0,0
325,1100061074.avi,0,2,0,0
326,1100061077.avi,0,2,0,0
327,1100061078.avi,0,2,0,0
328,1100062004.avi,1,3,0,0
329,1100062005.avi,0,3,2,2
330,1100062007.avi,0,3,1,0
331,1100062008.avi,2,1,1,2
332,1100062009.avi,0,3,0,0
333,1100062016.avi,1,2,0,0
334,1100062017.avi,0,3,0,0
335,1100062024.avi,2,2,0,0
336,1100062028.avi,2,2,1,0
337,1100062029.avi,1,2,1,0
338,1100062036.avi,3,2,0,0
339,1100062037.avi,2,2,0,0
340,1100062044.avi,2,2,0,0
341,1100062045.avi,2,1,1,0
342,1100062046.avi,2,2,0,0
343,1100062049.avi,2,1,2,0
344,1100062051.avi,3,2,0,0
345,1100062053.avi,0,3,0,0
346,1100062054.avi,2,2,0,1
347,1100062059.avi,1,2,0,1
348,1100062060.avi,2,2,0,0
349,1100062061.avi,0,2,0,0
350,1100062062.avi,1,2,0,0
351,1100062063.avi,2,2,0,0
352,1100062064.avi,2,2,0,0
353,1100062065.avi,0,2,0,0
354,1100062066.avi,3,3,0,0
355,1100062067.avi,0,3,0,0
356,1100062068.avi,2,2,1,0
357,1100062069.avi,1,2,0,0
358,1100062070.avi,2,2,0,0
359,1100062071.avi,1,3,1,1
360,1100062072.avi,2,3,1,2
361,1100071005.avi,2,2,0,0
362,1100071006.avi,2,2,0,0
363,1100071007.avi,2,2,0,0
364,1100071008.avi,2,3,0,0
365,1100071009.avi,2,2,0,0
366,1100071010.avi,2,2,0,0
367,1100071011.avi,2,2,0,0
368,1100071012.avi,0,3,0,0
369,1100071013.avi,0,2,0,0
370,1100071014.avi,0,3,0,0
371,1100071015.avi,2,2,2,2
372,1100071016.avi,1,3,0,0
373,1100071017.avi,1,2,0,1
374,1100071018.avi,0,2,0,0
375,1100071019.avi,1,2,0,0
376,1100071020.avi,2,2,0,0
377,1100071021.avi,2,3,0,0
378,1100071022.avi,2,2,0,0
379,1100071023.avi,2,2,0,0
380,1100071024.avi,2,2,0,0
381,1100071026.avi,2,2,0,1
382,1100071027.avi,2,2,0,0
383,1100071028.avi,2,2,0,0
384,1100071029.avi,2,2,0,0
385,1100071030.avi,0,3,0,0
386,1100071031.avi,3,3,0,1
387,1100071032.avi,2,2,1,0
388,1100071033.avi,2,2,0,0
389,1100071034.avi,1,3,1,0
390,1100071035.avi,1,2,0,0
391,1100071036.avi,0,2,0,0
392,1100071037.avi,2,2,0,0
393,1100071040.avi,2,3,0,0
394,1100071041.avi,2,2,0,0
395,1100071042.avi,2,2,1,0
396,1100071043.avi,2,3,2,1
397,1100071044.avi,2,2,1,0
398,1100071045.avi,2,2,0,0
399,1100071046.avi,2,2,0,0
400,1100071047.avi,2,2,0,0
401,1100071049.avi,0,2,0,0
402,1100071050.avi,2,3,0,0
403,1100071052.avi,2,2,0,0
404,1100071054.avi,0,2,0,0
405,1100071055.avi,1,3,1,1
406,1100071056.avi,1,2,1,1
407,1100071057.avi,2,3,0,0
408,1100071058.avi,2,2,0,0
409,1100071059.avi,1,2,1,1
410,1100071060.avi,0,2,1,0
411,1100071061.avi,2,3,0,0
412,1100071062.avi,2,2,0,0
413,1100071063.avi,0,3,0,0
414,1100071064.avi,0,3,0,0
415,1100071065.avi,2,2,0,0
416,1100071066.avi,2,2,0,0
417,1100071067.avi,0,3,1,0
418,1100071069.avi,0,2,1,0
419,1100071070.avi,0,3,0,0
420,1100071071.avi,2,2,0,0
421,1100071072.avi,2,2,0,0
422,1100071073.avi,0,2,0,0
423,1100071074.avi,2,2,0,0
424,1100071075.avi,2,2,0,0
425,1100071076.avi,2,2,0,0
426,1100071077.avi,0,3,1,0
427,1100071078.avi,1,3,0,0
428,1100071079.avi,0,3,0,0
429,1100071080.avi,0,3,0,0
430,1100071081.avi,0,3,0,0
431,1100072001.avi,2,2,0,0
432,1100072002.avi,0,3,0,0
433,1100072003.avi,0,3,0,0
434,1100072004.avi,2,2,0,0
435,1100072006.avi,0,2,0,0
436,1100072007.avi,0,2,0,0
437,1100072008.avi,2,2,0,0
438,1100072009.avi,1,3,0,0
439,1100072010.avi,2,2,0,0
440,1100072011.avi,2,3,0,0
441,1100072012.avi,0,3,0,0
442,1100072013.avi,0,2,0,0
443,1100072014.avi,0,2,0,0
444,1100072015.avi,2,2,0,1
445,1100072016.avi,2,2,0,0
446,1100072021.avi,2,2,0,0
447,1100072022.avi,0,2,0,0
448,1100072023.avi,0,3,0,0
449,1100072024.avi,0,2,0,0
450,1100072027.avi,1,2,0,0
451,1100072028.avi,2,2,0,0
452,1100072029.avi,0,2,0,0
453,1100072030.avi,2,2,0,0
454,1100072031.avi,2,2,0,0
455,1100072032.avi,2,3,0,0
456,1100072033.avi,1,3,0,0
457,1100072034.avi,2,2,0,0
458,1100072036.avi,2,2,0,0
459,1100072037.avi,2,2,0,0
460,1100072038.avi,1,2,1,1
461,1100072039.avi,1,2,1,1
462,1100072040.avi,1,2,0,0
463,1100072042.avi,0,2,0,0
464,1100072043.avi,2,3,1,0
465,1100072045.avi,2,2,0,0
466,1100072047.avi,2,3,0,0
467,1100072048.avi,2,2,0,0
468,1100072049.avi,1,2,0,0
469,1100072050.avi,2,2,0,0
470,1100072051.avi,0,3,0,0
471,1100072052.avi,2,3,0,0
472,1100072053.avi,0,2,0,0
473,1100072054.avi,0,2,0,0
474,1100072056.avi,2,2,1,1
475,1100072057.avi,2,2,0,0
476,1100072058.avi,1,3,0,0
477,1100072059.avi,2,2,0,0
478,1100072060.avi,2,2,0,0
479,1100072061.avi,2,2,0,0
480,1100072062.avi,2,2,0,0
481,1100072063.avi,0,3,0,0
482,1100072065.avi,1,2,1,1
483,1100072066.avi,0,3,1,0
484,1100072067.avi,2,2,0,0
485,1100072068.avi,1,2,0,0
486,1100072069.avi,1,2,0,0
487,1100072070.avi,2,2,0,0
488,1100072071.avi,1,2,1,1
489,1100072072.avi,1,2,0,0
490,1100072073.avi,2,2,0,0
491,1100072074.avi,2,3,0,0
492,1100072075.avi,3,2,0,0
493,1100072076.avi,2,2,0,0
494,1100072077.avi,0,3,0,0
495,1100072078.avi,2,3,0,0
496,1100072079.avi,0,2,0,1
497,1100072080.avi,2,2,0,0
498,1100072081.avi,1,2,0,0
499,1100072082.avi,2,3,0,0
500,1100072083.avi,1,2,0,0
501,1100072084.avi,0,2,0,0
502,1100072085.avi,2,2,0,0
503,1100081044.avi,0,2,2,1
504,1100081045.avi,0,2,0,0
505,1100081046.avi,1,2,0,1
506,1100081047.avi,0,3,0,0
507,1100081048.avi,0,3,1,1
508,1100082002.avi,0,3,0,0
509,1100082003.avi,0,3,0,0
510,1100082018.avi,1,2,1,1
511,1100082027.avi,0,2,0,1
512,1100102003.avi,2,2,0,3
513,1100111001.avi,1,3,0,0
514,1100111002.avi,0,3,0,0
515,1100111003.avi,0,2,2,0
516,1100111008.avi,1,2,0,0
517,1100111009.avi,0,2,0,0
518,1100111010.avi,0,3,0,0
519,1100111011.avi,0,2,0,0
520,1100111012.avi,1,2,0,0
521,1100111013.avi,1,2,1,1
522,1100111014.avi,2,2,0,2
523,1100111016.avi,0,2,0,0
524,1100111017.avi,0,2,0,0
525,1100111018.avi,2,2,0,0
526,1100111019.avi,1,2,0,0
527,1100111021.avi,0,2,0,0
528,1100111023.avi,1,3,0,0
529,1100111025.avi,0,3,0,0
530,1100111026.avi,0,2,0,0
531,1100111027.avi,1,3,1,1
532,1100111029.avi,2,2,1,0
533,1100111030.avi,0,3,0,0
534,1100111032.avi,1,2,0,0
535,1100112001.avi,1,2,0,0
536,1100112002.avi,2,1,0,0
537,1100112003.avi,0,3,0,0
538,1100112004.avi,0,3,0,0
539,1100112006.avi,0,1,0,0
540,1100112007.avi,1,3,0,0
541,1100112008.avi,0,3,0,0
542,1100112009.avi,0,3,0,0
543,1100112010.avi,1,2,0,0
544,1100112011.avi,1,2,2,0
545,1100112012.avi,0,3,0,0
546,1100112013.avi,0,2,0,0
547,1100112014.avi,1,2,0,0
548,1100112015.avi,0,3,0,0
549,1100112016.avi,0,3,0,0
550,1100112017.avi,1,3,0,0
551,1100112018.avi,0,3,0,0
552,1100112021.avi,0,2,1,1
553,1100112022.avi,1,2,0,0
554,1100112024.avi,0,3,0,0
555,1100112025.avi,0,2,0,0
556,1100112026.avi,2,2,0,0
557,1100112029.avi,0,3,0,0
558,1100112030.avi,0,3,0,0
559,1100112033.avi,1,3,0,0
560,1100112035.avi,0,2,0,0
561,1100112036.avi,1,3,0,0
562,1100112037.avi,0,3,0,0
563,1100112038.avi,2,2,0,0
564,1100112039.avi,0,3,0,0
565,1100112040.avi,1,2,0,0
566,1100112041.avi,0,2,0,0
567,1100112042.avi,0,3,0,0
568,1100112043.avi,1,2,0,0
569,1100112044.avi,0,2,0,0
570,1100112045.avi,2,2,1,1
571,1100112047.avi,2,3,0,0
572,1100112048.avi,0,2,0,0
573,1100112051.avi,0,3,0,0
574,1100112052.avi,0,3,0,0
575,1100112053.avi,0,3,0,0
576,1100112056.avi,1,2,0,0
577,1100112057.avi,0,3,0,0
578,1100112058.avi,0,2,0,0
579,1100112059.avi,0,3,0,0
580,1100112060.avi,1,3,0,0
581,1100112061.avi,0,2,0,0
582,1100112062.avi,1,2,1,0
583,1100112063.avi,1,2,1,0
584,1100112064.avi,1,3,0,0
585,1100112065.avi,1,2,1,0
586,1100112066.avi,0,3,0,0
587,1100112068.avi,1,3,0,0
588,1100121002.avi,1,3,0,0
589,1100121003.avi,0,2,0,0
590,1100121004.avi,1,3,0,0
591,1100121005.avi,0,3,0,0
592,1100121006.avi,0,3,0,0
593,1100121007.avi,0,3,0,0
594,1100121008.avi,1,3,0,0
595,1100121009.avi,1,3,0,0
596,1100121010.avi,0,3,0,0
597,1100121011.avi,1,3,0,0
598,1100121012.avi,0,3,0,0
599,1100121015.avi,2,2,0,0
600,1100121016.avi,1,3,2,0
601,1100121017.avi,0,3,0,0
602,1100121018.avi,1,2,0,2
603,1100121019.avi,0,2,1,0
604,1100121020.avi,2,3,0,0
605,1100121024.avi,2,2,0,0
606,1100121025.avi,2,2,2,2
607,1100121028.avi,0,3,0,0
608,1100121031.avi,2,2,0,0
609,1100121032.avi,0,3,0,0
610,1100121033.avi,0,2,1,0
611,1100121034.avi,2,2,0,0
612,1100121035.avi,0,3,0,0
613,1100121036.avi,0,2,0,0
614,1100121038.avi,0,3,0,1
615,1100121040.avi,0,3,0,0
616,1100121041.avi,1,2,1,0
617,1100121042.avi,0,2,0,0
618,1100121044.avi,0,3,0,0
619,1100121045.avi,0,3,0,0
620,1100121047.avi,0,3,0,0
621,1100121049.avi,0,2,0,0
622,1100121050.avi,2,3,1,0
623,1100121052.avi,0,2,1,0
624,1100121053.avi,0,3,0,0
625,1100121054.avi,0,3,0,0
626,1100121056.avi,1,2,0,0
627,1100121057.avi,0,3,0,0
628,1100121059.avi,0,2,1,0
629,1100121060.avi,1,2,0,0
630,1100121061.avi,1,2,0,1
631,1100121064.avi,0,3,0,0
632,1100122001.avi,0,2,0,0
633,1100122002.avi,1,2,0,0
634,1100122003.avi,0,2,0,0
635,1100122005.avi,0,2,0,0
636,1100122006.avi,1,3,0,0
637,1100122007.avi,0,3,0,0
638,1100122008.avi,1,3,1,1
639,1100122009.avi,0,2,0,0
640,1100122010.avi,1,3,0,0
641,1100122011.avi,0,3,0,0
642,1100122012.avi,0,3,0,0
643,1100122013.avi,0,3,0,1
644,1100122014.avi,2,3,0,0
645,1100122015.avi,0,2,0,0
646,1100122017.avi,1,2,0,0
647,1100122018.avi,0,3,0,0
648,1100122019.avi,0,3,0,0
649,1100122020.avi,1,3,0,0
650,1100122021.avi,2,2,0,0
651,1100122023.avi,1,2,0,0
652,1100122024.avi,0,3,1,1
653,1100122025.avi,0,2,0,0
654,1100122026.avi,0,2,0,0
655,1100122031.avi,1,3,0,0
656,1100122032.avi,0,3,0,0
657,1100122033.avi,0,2,0,0
658,1100122034.avi,0,3,0,0
659,1100122035.avi,1,2,1,0
660,1100122036.avi,0,3,0,0
661,1100122037.avi,0,3,0,0
662,1100122038.avi,0,3,0,0
663,1100122039.avi,0,3,0,0
664,1100122040.avi,0,2,0,0
665,1100122041.avi,1,2,0,0
666,1100122045.avi,2,2,0,0
667,1100122047.avi,0,2,0,1
668,1100122048.avi,0,3,1,0
669,1100122050.avi,1,3,0,0
670,1100122051.avi,0,2,0,0
671,1100122052.avi,0,3,0,0
672,1100122053.avi,1,2,0,0
673,1100122054.avi,1,2,0,0
674,1100122056.avi,2,1,0,1
675,1100131006.avi,0,3,0,0
676,1100131007.avi,0,2,0,0
677,1100131009.avi,0,3,0,0
678,1100131010.avi,0,3,0,0
679,1100131011.avi,1,3,0,0
680,1100131012.avi,0,3,0,0
681,1100131017.avi,2,0,0,0
682,1100131019.avi,0,3,0,0
683,1100141001.avi,0,3,0,0
684,1100141002.avi,2,2,2,2
685,1100141003.avi,0,3,0,0
686,1100141004.avi,1,3,0,0
687,1100141005.avi,0,2,0,0
688,1100141006.avi,1,2,1,0
689,1100141007.avi,0,3,0,0
690,1100141008.avi,1,2,0,0
691,1100141009.avi,1,2,0,0
692,1100141010.avi,0,3,0,0
693,1100141011.avi,2,2,0,1
694,1100141012.avi,2,2,2,0
695,1100141013.avi,2,1,0,1
696,1100141014.avi,1,2,1,1
697,1100141015.avi,2,2,0,0
698,1100141016.avi,0,3,0,0
699,1100141017.avi,1,2,1,0
700,1100141019.avi,3,2,0,1
701,1100141020.avi,2,2,2,1
702,1100141021.avi,2,2,2,0
703,1100141023.avi,0,3,0,0
704,1100141027.avi,1,1,0,1
705,1100141028.avi,1,2,0,2
706,1100141029.avi,2,2,0,0
707,1100141030.avi,1,2,1,2
708,1100141031.avi,0,2,2,0
709,1100141032.avi,1,2,0,1
710,1100141033.avi,0,2,2,1
711,1100141034.avi,3,2,0,1
712,1100141035.avi,1,2,0,2
713,1100141036.avi,2,2,1,0
714,1100141039.avi,1,3,2,0
715,1100141040.avi,2,2,0,1
716,1100141042.avi,2,2,0,1
717,1100141044.avi,1,2,0,0
718,1100141045.avi,0,3,1,2
719,1100141046.avi,2,2,0,0
720,1100141049.avi,2,2,1,0
721,1100141050.avi,2,2,2,1
722,1100141052.avi,2,2,0,0
723,1100141053.avi,2,2,1,0
724,1100141054.avi,0,3,0,0
725,1100141055.avi,0,3,0,0
726,1100141056.avi,0,2,1,2
727,1100141057.avi,2,2,1,1
728,1100142002.avi,1,3,0,0
729,1100142003.avi,2,2,1,1
730,1100142004.avi,2,2,0,1
731,1100142007.avi,2,2,0,0
732,1100142008.avi,0,2,0,0
733,1100142009.avi,1,2,0,1
734,1100142010.avi,2,2,0,0
735,1100142011.avi,1,3,2,1
736,1100142013.avi,3,2,0,0
737,1100142014.avi,2,2,0,0
738,1100142015.avi,1,2,0,0
739,1100142017.avi,1,2,0,0
740,1100142018.avi,2,2,1,1
741,1100142019.avi,1,2,0,1
742,1100142021.avi,2,3,1,0
743,1100142022.avi,2,2,0,1
744,1100142023.avi,1,2,1,2
745,1100142024.avi,0,2,1,0
746,1100142027.avi,1,3,0,0
747,1100142028.avi,2,2,2,0
748,1100142029.avi,0,3,0,0
749,1100142030.avi,0,2,0,0
750,1100142031.avi,0,2,0,0
751,1100142032.avi,0,3,0,0
752,1100142033.avi,1,1,0,0
753,1100142034.avi,0,3,0,0
754,1100142035.avi,0,3,0,0
755,1100142038.avi,0,2,0,0
756,1100142041.avi,0,3,0,0
757,1100142043.avi,2,2,1,0
758,1100142044.avi,2,2,0,0
759,1100142045.avi,0,2,0,0
760,1100142046.avi,0,3,0,0
761,1100142048.avi,1,3,0,0
762,1100142049.avi,1,2,0,0
763,1100142050.avi,2,2,0,0
764,1100142051.avi,2,2,1,0
765,1100142052.avi,2,2,2,0
766,1100142053.avi,0,3,0,0
767,1100142056.avi,0,3,0,0
768,1100142057.avi,0,3,0,0
769,1100142058.avi,0,2,0,0
770,1100142059.avi,1,2,0,1
771,1100142060.avi,1,2,1,1
772,1100151003.avi,1,2,0,0
773,1100151004.avi,2,3,0,0
